trial_id,K_true,noise_sd,method,K_selected,ARI,cent_rmse,cov_err,elapsed_sec
132,5,0.1,vb_elbo,5,0.934225226905702,0.0303075952443175,0.745051540866435,98.43302
132,5,0.1,vb_icl,5,0.937468465000571,0.0303075952443175,0.745051540866435,0
132,5,0.1,vb_pred,11,1,2.26894101723825,0.745051540866435,203.410847
133,5,0.1,kmeans_sil,10,0.988272927481522,NaN,NaN,36.426075
133,5,0.1,vb_elbo,5,0.934425443167042,0.0377788282599926,1.17280661846821,82.373471
133,5,0.1,vb_icl,5,0.934425443167042,0.0377788282599926,1.17280661846821,0
133,5,0.1,vb_pred,10,1,1.65805533708364,21.5857695798476,83.876812
134,5,0.1,kmeans_sil,10,0.988412354622816,NaN,NaN,22.352519
134,5,0.1,vb_elbo,5,0.926350607244477,0.0387472924259699,1.7032982051732,53.687185
134,5,0.1,vb_icl,5,0.926350607244477,0.0387472924259699,1.7032982051732,0
134,5,0.1,vb_pred,12,0.99824932092649,2.41422148810591,22.0060202042985,67.291568
135,5,0.1,kmeans_sil,10,0.990713149383001,NaN,NaN,36.996945
135,5,0.1,vb_elbo,5,0.926662988409812,0.030579517786048,1.41973843420336,118.39749
135,5,0.1,vb_icl,5,0.926662988409812,0.030579517786048,1.41973843420336,0
135,5,0.1,vb_pred,9,1,1.76673275367704,21.3064189993785,143.779904
136,6,0.1,kmeans_sil,10,0.99097584109118,NaN,NaN,70.155087
136,6,0.1,vb_elbo,6,0.940145343631404,0.0327746731278069,1.07313207383476,197.599655
136,6,0.1,vb_icl,6,0.949597746666544,0.0327746731278069,1.07313207383476,0
136,6,0.1,vb_pred,11,0.996135840144331,3.23642338215786,20.0509804243815,308.142635
137,6,0.1,kmeans_sil,10,0.989981024312533,NaN,NaN,73.706645
137,6,0.1,vb_elbo,6,0.955793702085301,0.0270396983151397,1.08186440673185,116.001567
137,6,0.1,vb_icl,6,0.955793702085301,0.0270396983151397,1.08186440673185,0
137,6,0.1,vb_pred,11,1,1.48726371794097,1.08186440673185,126.151199
138,6,0.1,kmeans_sil,10,0.989645206806081,NaN,NaN,62.858344
138,6,0.1,vb_elbo,6,0.937279770080629,0.0274977138972065,0.855192619630439,169.246458
138,6,0.1,vb_icl,6,0.937279770080629,0.0274977138972065,0.855192619630439,0
